Vd_src, Vg_src, Id, Ig
0.000000000000000000e+00,-1.479999999999999982e+00,1.069999999999999920e-06,-9.999999999999999547e-08
-1.000000000000000021e-02,-1.479999999999999982e+00,-5.600000000000000382e-07,-9.999999999999999547e-08
-2.000000000000000042e-02,-1.479999999999999982e+00,-2.969999999999999940e-06,-9.999999999999999547e-08
-2.999999999999999889e-02,-1.479999999999999982e+00,-4.060000000000000092e-06,-9.999999999999999547e-08
-4.000000000000000083e-02,-1.479999999999999982e+00,-5.740000000000000100e-06,-9.999999999999999547e-08
-5.000000000000000278e-02,-1.479999999999999982e+00,-7.510000000000000094e-06,-9.999999999999999547e-08
-5.999999999999999778e-02,-1.479999999999999982e+00,-9.259999999999999433e-06,-9.999999999999999547e-08
-7.000000000000000666e-02,-1.479999999999999982e+00,-1.113000000000000016e-05,-9.999999999999999547e-08
-8.000000000000000167e-02,-1.479999999999999982e+00,-1.307000000000000022e-05,-9.999999999999999547e-08
-8.999999999999999667e-02,-1.479999999999999982e+00,-1.458999999999999922e-05,-9.999999999999999547e-08
-1.000000000000000056e-01,-1.479999999999999982e+00,-1.688000000000000101e-05,-9.999999999999999547e-08
-1.100000000000000006e-01,-1.479999999999999982e+00,-1.887999999999999881e-05,-9.999999999999999547e-08
-1.199999999999999956e-01,-1.479999999999999982e+00,-2.093000000000000120e-05,-9.999999999999999547e-08
-1.300000000000000044e-01,-1.479999999999999982e+00,-2.305000000000000123e-05,-9.999999999999999547e-08
-1.400000000000000133e-01,-1.479999999999999982e+00,-2.502000000000000101e-05,-9.999999999999999547e-08
-1.499999999999999944e-01,-1.479999999999999982e+00,-2.710000000000000142e-05,-9.999999999999999547e-08
-1.600000000000000033e-01,-1.479999999999999982e+00,-2.903000000000000158e-05,-9.999999999999999547e-08
-1.700000000000000122e-01,-1.479999999999999982e+00,-3.092000000000000212e-05,-9.999999999999999547e-08
-1.799999999999999933e-01,-1.479999999999999982e+00,-3.283999999999999729e-05,-9.999999999999999547e-08
-1.900000000000000022e-01,-1.479999999999999982e+00,-3.482000000000000205e-05,-9.999999999999999547e-08
-2.000000000000000111e-01,-1.479999999999999982e+00,-3.547999999999999911e-05,-9.999999999999999547e-08
