Vd_src, Vg_src, Id, Ig
0.000000000000000000e+00,-1.850000000000000089e+00,3.620000000000000069e-06,-1.999999999999999909e-07
-1.000000000000000021e-02,-1.850000000000000089e+00,-1.179999999999999925e-06,-1.999999999999999909e-07
-2.000000000000000042e-02,-1.850000000000000089e+00,-6.669999999999999666e-06,-1.999999999999999909e-07
-2.999999999999999889e-02,-1.850000000000000089e+00,-1.266000000000000076e-05,-1.999999999999999909e-07
-4.000000000000000083e-02,-1.850000000000000089e+00,-1.889000000000000041e-05,4.999999999999999774e-07
-5.000000000000000278e-02,-1.850000000000000089e+00,-2.343999999999999919e-05,-1.999999999999999909e-07
-5.999999999999999778e-02,-1.850000000000000089e+00,-2.962000000000000101e-05,-1.999999999999999909e-07
-7.000000000000000666e-02,-1.850000000000000089e+00,-3.522999999999999981e-05,4.999999999999999774e-07
-8.000000000000000167e-02,-1.850000000000000089e+00,-4.102999999999999849e-05,4.999999999999999774e-07
-8.999999999999999667e-02,-1.850000000000000089e+00,-4.763999999999999789e-05,-1.999999999999999909e-07
-1.000000000000000056e-01,-1.850000000000000089e+00,-5.386999999999999753e-05,-1.999999999999999909e-07
-1.100000000000000006e-01,-1.850000000000000089e+00,-6.042000000000000089e-05,-1.999999999999999909e-07
-1.199999999999999956e-01,-1.850000000000000089e+00,-6.664999999999999375e-05,4.999999999999999774e-07
-1.300000000000000044e-01,-1.850000000000000089e+00,-7.318999999999999551e-05,-1.999999999999999909e-07
-1.400000000000000133e-01,-1.850000000000000089e+00,-8.080999999999999371e-05,-1.999999999999999909e-07
-1.499999999999999944e-01,-1.850000000000000089e+00,-8.791000000000000366e-05,-1.999999999999999909e-07
-1.600000000000000033e-01,-1.850000000000000089e+00,-9.433999999999999461e-05,4.999999999999999774e-07
-1.700000000000000122e-01,-1.850000000000000089e+00,-1.017600000000000015e-04,-1.999999999999999909e-07
-1.799999999999999933e-01,-1.850000000000000089e+00,-1.085499999999999958e-04,4.999999999999999774e-07
-1.900000000000000022e-01,-1.850000000000000089e+00,-1.153499999999999984e-04,-1.999999999999999909e-07
-2.000000000000000111e-01,-1.850000000000000089e+00,-1.226400000000000049e-04,-1.999999999999999909e-07
-2.099999999999999922e-01,-1.850000000000000089e+00,-1.296299999999999905e-04,4.999999999999999774e-07
-2.200000000000000011e-01,-1.850000000000000089e+00,-1.361799999999999870e-04,-1.999999999999999909e-07
-2.300000000000000100e-01,-1.850000000000000089e+00,-1.430299999999999909e-04,4.999999999999999774e-07
-2.399999999999999911e-01,-1.850000000000000089e+00,-1.510100000000000060e-04,-1.999999999999999909e-07
-2.500000000000000000e-01,-1.850000000000000089e+00,-1.575600000000000026e-04,4.999999999999999774e-07
-2.600000000000000089e-01,-1.850000000000000089e+00,-1.638699999999999879e-04,4.999999999999999774e-07
-2.700000000000000178e-01,-1.850000000000000089e+00,-1.712100000000000091e-04,-1.999999999999999909e-07
-2.800000000000000266e-01,-1.850000000000000089e+00,-1.784500000000000008e-04,-1.999999999999999909e-07
-2.899999999999999800e-01,-1.850000000000000089e+00,-1.848800000000000053e-04,-1.999999999999999909e-07
-2.999999999999999889e-01,-1.850000000000000089e+00,-1.914300000000000019e-04,-1.999999999999999909e-07
-3.099999999999999978e-01,-1.850000000000000089e+00,-1.980399999999999945e-04,-1.999999999999999909e-07
-3.200000000000000067e-01,-1.850000000000000089e+00,-2.036999999999999911e-04,4.999999999999999774e-07
-3.300000000000000155e-01,-1.850000000000000089e+00,-2.105599999999999898e-04,-1.999999999999999909e-07
-3.400000000000000244e-01,-1.850000000000000089e+00,-2.166199999999999961e-04,-1.999999999999999909e-07
-3.499999999999999778e-01,-1.850000000000000089e+00,-2.232299999999999888e-04,-1.999999999999999909e-07
-3.599999999999999867e-01,-1.850000000000000089e+00,-2.290899999999999903e-04,-1.999999999999999909e-07
-3.699999999999999956e-01,-1.850000000000000089e+00,-2.348700000000000061e-04,-1.999999999999999909e-07
-3.800000000000000044e-01,-1.850000000000000089e+00,-2.397400000000000052e-04,-1.999999999999999909e-07
-3.900000000000000133e-01,-1.850000000000000089e+00,-2.460300000000000009e-04,-1.999999999999999909e-07
-4.000000000000000222e-01,-1.850000000000000089e+00,-2.516500000000000182e-04,4.999999999999999774e-07
-4.099999999999999756e-01,-1.850000000000000089e+00,-2.563999999999999981e-04,-1.999999999999999909e-07
-4.199999999999999845e-01,-1.850000000000000089e+00,-2.628199999999999807e-04,-1.999999999999999909e-07
-4.299999999999999933e-01,-1.850000000000000089e+00,-2.686799999999999822e-04,-1.999999999999999909e-07
-4.400000000000000022e-01,-1.850000000000000089e+00,-2.729699999999999835e-04,4.999999999999999774e-07
-4.500000000000000111e-01,-1.850000000000000089e+00,-2.787199999999999877e-04,-1.999999999999999909e-07
-4.600000000000000200e-01,-1.850000000000000089e+00,-2.828400000000000228e-04,4.999999999999999774e-07
-4.699999999999999734e-01,-1.850000000000000089e+00,-2.881399999999999890e-04,-1.999999999999999909e-07
-4.799999999999999822e-01,-1.850000000000000089e+00,-2.925499999999999824e-04,-1.999999999999999909e-07
-4.899999999999999911e-01,-1.850000000000000089e+00,-2.976200000000000134e-04,-1.999999999999999909e-07
