Vd_src, Vg_src, Id, Ig
0.000000000000000000e+00,1.110000000000000098e+00,2.669999999999999953e-07,4.999999999999999774e-07
1.000000000000000021e-02,1.110000000000000098e+00,6.029999999999999865e-07,4.999999999999999774e-07
2.000000000000000042e-02,1.110000000000000098e+00,9.540000000000000987e-07,4.999999999999999774e-07
2.999999999999999889e-02,1.110000000000000098e+00,1.269000000000000047e-06,4.999999999999999774e-07
4.000000000000000083e-02,1.110000000000000098e+00,1.619999999999999948e-06,4.999999999999999774e-07
5.000000000000000278e-02,1.110000000000000098e+00,1.928000000000000006e-06,-1.999999999999999909e-07
5.999999999999999778e-02,1.110000000000000098e+00,2.251000000000000132e-06,4.999999999999999774e-07
7.000000000000000666e-02,1.110000000000000098e+00,2.566000000000000081e-06,4.999999999999999774e-07
8.000000000000000167e-02,1.110000000000000098e+00,2.895999999999999886e-06,4.999999999999999774e-07
8.999999999999999667e-02,1.110000000000000098e+00,3.210999999999999835e-06,4.999999999999999774e-07
1.000000000000000056e-01,1.110000000000000098e+00,3.485000000000000091e-06,4.999999999999999774e-07
1.100000000000000006e-01,1.110000000000000098e+00,3.764999999999999951e-06,4.999999999999999774e-07
1.199999999999999956e-01,1.110000000000000098e+00,4.094000000000000105e-06,4.999999999999999774e-07
1.300000000000000044e-01,1.110000000000000098e+00,4.325999999999999747e-06,4.999999999999999774e-07
1.400000000000000133e-01,1.110000000000000098e+00,4.592000000000000250e-06,4.999999999999999774e-07
1.499999999999999944e-01,1.110000000000000098e+00,4.852000000000000301e-06,4.999999999999999774e-07
1.600000000000000033e-01,1.110000000000000098e+00,5.125000000000000059e-06,4.999999999999999774e-07
1.700000000000000122e-01,1.110000000000000098e+00,5.363000000000000152e-06,4.999999999999999774e-07
1.799999999999999933e-01,1.110000000000000098e+00,5.614999999999999603e-06,-1.999999999999999909e-07
1.900000000000000022e-01,1.110000000000000098e+00,5.818999999999999683e-06,4.999999999999999774e-07
2.000000000000000111e-01,1.110000000000000098e+00,6.070999999999999980e-06,4.999999999999999774e-07
2.099999999999999922e-01,1.110000000000000098e+00,6.301999999999999971e-06,4.999999999999999774e-07
2.200000000000000011e-01,1.110000000000000098e+00,6.540999999999999716e-06,4.999999999999999774e-07
2.300000000000000100e-01,1.110000000000000098e+00,6.744000000000000144e-06,-1.999999999999999909e-07
2.399999999999999911e-01,1.110000000000000098e+00,6.912999999999999712e-06,4.999999999999999774e-07
2.500000000000000000e-01,1.110000000000000098e+00,7.143999999999999702e-06,4.999999999999999774e-07
2.600000000000000089e-01,1.110000000000000098e+00,7.325999999999999823e-06,4.999999999999999774e-07
2.700000000000000178e-01,1.110000000000000098e+00,7.515999999999999698e-06,4.999999999999999774e-07
2.800000000000000266e-01,1.110000000000000098e+00,7.697999999999999819e-06,4.999999999999999774e-07
2.899999999999999800e-01,1.110000000000000098e+00,7.886999999999999195e-06,4.999999999999999774e-07
2.999999999999999889e-01,1.110000000000000098e+00,8.033999999999999651e-06,4.999999999999999774e-07
3.099999999999999978e-01,1.110000000000000098e+00,8.209999999999999321e-06,4.999999999999999774e-07
3.200000000000000067e-01,1.110000000000000098e+00,8.349999999999999675e-06,4.999999999999999774e-07
3.300000000000000155e-01,1.110000000000000098e+00,8.504000000000000234e-06,4.999999999999999774e-07
3.400000000000000244e-01,1.110000000000000098e+00,8.637000000000000485e-06,4.999999999999999774e-07
3.499999999999999778e-01,1.110000000000000098e+00,8.763999999999999438e-06,4.999999999999999774e-07
3.599999999999999867e-01,1.110000000000000098e+00,8.882999999999999485e-06,4.999999999999999774e-07
3.699999999999999956e-01,1.110000000000000098e+00,9.037000000000000043e-06,4.999999999999999774e-07
3.800000000000000044e-01,1.110000000000000098e+00,9.113999999999999475e-06,4.999999999999999774e-07
3.900000000000000133e-01,1.110000000000000098e+00,9.253999999999999829e-06,4.999999999999999774e-07
4.000000000000000222e-01,1.110000000000000098e+00,9.323999999999999159e-06,4.999999999999999774e-07
4.099999999999999756e-01,1.110000000000000098e+00,9.436999999999999602e-06,4.999999999999999774e-07
4.199999999999999845e-01,1.110000000000000098e+00,9.507000000000000625e-06,4.999999999999999774e-07
4.299999999999999933e-01,1.110000000000000098e+00,9.582999999999999559e-06,4.999999999999999774e-07
4.400000000000000022e-01,1.110000000000000098e+00,9.653999999999999387e-06,4.999999999999999774e-07
4.500000000000000111e-01,1.110000000000000098e+00,9.738000000000000616e-06,4.999999999999999774e-07
4.600000000000000200e-01,1.110000000000000098e+00,9.779999999999999536e-06,4.999999999999999774e-07
4.699999999999999734e-01,1.110000000000000098e+00,9.843000000000000458e-06,4.999999999999999774e-07
4.799999999999999822e-01,1.110000000000000098e+00,9.891999999999999480e-06,4.999999999999999774e-07
4.899999999999999911e-01,1.110000000000000098e+00,9.934000000000000095e-06,4.999999999999999774e-07
5.000000000000000000e-01,1.110000000000000098e+00,9.976000000000000709e-06,4.999999999999999774e-07
5.100000000000000089e-01,1.110000000000000098e+00,9.989999999999999220e-06,4.999999999999999774e-07
5.200000000000000178e-01,1.110000000000000098e+00,1.002600000000000023e-05,4.999999999999999774e-07
5.300000000000000266e-01,1.110000000000000098e+00,1.004700000000000054e-05,4.999999999999999774e-07
5.400000000000000355e-01,1.110000000000000098e+00,1.008199999999999936e-05,4.999999999999999774e-07
5.500000000000000444e-01,1.110000000000000098e+00,1.009599999999999956e-05,4.999999999999999774e-07
5.600000000000000533e-01,1.110000000000000098e+00,1.008899999999999946e-05,4.999999999999999774e-07
5.699999999999999512e-01,1.110000000000000098e+00,1.010999999999999976e-05,4.999999999999999774e-07
5.799999999999999600e-01,1.110000000000000098e+00,1.011699999999999987e-05,4.999999999999999774e-07
5.899999999999999689e-01,1.110000000000000098e+00,1.013100000000000007e-05,-1.999999999999999909e-07
5.999999999999999778e-01,1.110000000000000098e+00,1.015900000000000048e-05,4.999999999999999774e-07
6.099999999999999867e-01,1.110000000000000098e+00,1.014399999999999978e-05,-1.999999999999999909e-07
6.199999999999999956e-01,1.110000000000000098e+00,1.015900000000000048e-05,4.999999999999999774e-07
6.300000000000000044e-01,1.110000000000000098e+00,1.015900000000000048e-05,4.999999999999999774e-07
6.400000000000000133e-01,1.110000000000000098e+00,1.018699999999999920e-05,4.999999999999999774e-07
6.500000000000000222e-01,1.110000000000000098e+00,1.016600000000000058e-05,4.999999999999999774e-07
6.600000000000000311e-01,1.110000000000000098e+00,1.018000000000000079e-05,4.999999999999999774e-07
6.700000000000000400e-01,1.110000000000000098e+00,1.018699999999999920e-05,4.999999999999999774e-07
6.800000000000000488e-01,1.110000000000000098e+00,1.020099999999999940e-05,4.999999999999999774e-07
6.899999999999999467e-01,1.110000000000000098e+00,1.019399999999999930e-05,4.999999999999999774e-07
6.999999999999999556e-01,1.110000000000000098e+00,1.018000000000000079e-05,4.999999999999999774e-07
7.099999999999999645e-01,1.110000000000000098e+00,1.020799999999999950e-05,4.999999999999999774e-07
7.199999999999999734e-01,1.110000000000000098e+00,1.022199999999999971e-05,4.999999999999999774e-07
7.299999999999999822e-01,1.110000000000000098e+00,1.019399999999999930e-05,4.999999999999999774e-07
7.399999999999999911e-01,1.110000000000000098e+00,1.021499999999999961e-05,4.999999999999999774e-07
7.500000000000000000e-01,1.110000000000000098e+00,1.017300000000000069e-05,4.999999999999999774e-07
7.600000000000000089e-01,1.110000000000000098e+00,1.022899999999999981e-05,4.999999999999999774e-07
7.700000000000000178e-01,1.110000000000000098e+00,1.019399999999999930e-05,4.999999999999999774e-07
7.800000000000000266e-01,1.110000000000000098e+00,1.022199999999999971e-05,4.999999999999999774e-07
7.900000000000000355e-01,1.110000000000000098e+00,1.021499999999999961e-05,4.999999999999999774e-07
8.000000000000000444e-01,1.110000000000000098e+00,1.020799999999999950e-05,4.999999999999999774e-07
8.100000000000000533e-01,1.110000000000000098e+00,1.022199999999999971e-05,4.999999999999999774e-07
8.199999999999999512e-01,1.110000000000000098e+00,1.022199999999999971e-05,4.999999999999999774e-07
8.299999999999999600e-01,1.110000000000000098e+00,1.022899999999999981e-05,4.999999999999999774e-07
8.399999999999999689e-01,1.110000000000000098e+00,1.022899999999999981e-05,-1.999999999999999909e-07
8.499999999999999778e-01,1.110000000000000098e+00,1.018000000000000079e-05,4.999999999999999774e-07
8.599999999999999867e-01,1.110000000000000098e+00,1.022899999999999981e-05,4.999999999999999774e-07
8.699999999999999956e-01,1.110000000000000098e+00,1.023599999999999991e-05,4.999999999999999774e-07
8.800000000000000044e-01,1.110000000000000098e+00,1.023599999999999991e-05,4.999999999999999774e-07
8.900000000000000133e-01,1.110000000000000098e+00,1.024300000000000002e-05,4.999999999999999774e-07
9.000000000000000222e-01,1.110000000000000098e+00,1.018699999999999920e-05,4.999999999999999774e-07
9.100000000000000311e-01,1.110000000000000098e+00,1.024300000000000002e-05,4.999999999999999774e-07
9.200000000000000400e-01,1.110000000000000098e+00,1.025700000000000022e-05,4.999999999999999774e-07
9.300000000000000488e-01,1.110000000000000098e+00,1.026400000000000032e-05,4.999999999999999774e-07
9.399999999999999467e-01,1.110000000000000098e+00,1.024300000000000002e-05,4.999999999999999774e-07
9.499999999999999556e-01,1.110000000000000098e+00,1.027100000000000043e-05,-1.999999999999999909e-07
9.599999999999999645e-01,1.110000000000000098e+00,1.026400000000000032e-05,-1.999999999999999909e-07
9.699999999999999734e-01,1.110000000000000098e+00,1.027100000000000043e-05,4.999999999999999774e-07
9.799999999999999822e-01,1.110000000000000098e+00,1.025700000000000022e-05,-1.999999999999999909e-07
9.899999999999999911e-01,1.110000000000000098e+00,1.027800000000000053e-05,-1.999999999999999909e-07
1.000000000000000000e+00,1.110000000000000098e+00,1.026400000000000032e-05,-1.999999999999999909e-07
1.010000000000000009e+00,1.110000000000000098e+00,1.027800000000000053e-05,4.999999999999999774e-07
1.020000000000000018e+00,1.110000000000000098e+00,1.028500000000000063e-05,4.999999999999999774e-07
1.030000000000000027e+00,1.110000000000000098e+00,1.023599999999999991e-05,4.999999999999999774e-07
1.040000000000000036e+00,1.110000000000000098e+00,1.025000000000000012e-05,4.999999999999999774e-07
1.050000000000000044e+00,1.110000000000000098e+00,1.029200000000000073e-05,4.999999999999999774e-07
1.060000000000000053e+00,1.110000000000000098e+00,1.027100000000000043e-05,4.999999999999999774e-07
1.070000000000000062e+00,1.110000000000000098e+00,1.027800000000000053e-05,4.999999999999999774e-07
1.080000000000000071e+00,1.110000000000000098e+00,1.027100000000000043e-05,-1.999999999999999909e-07
1.090000000000000080e+00,1.110000000000000098e+00,1.027100000000000043e-05,4.999999999999999774e-07
1.100000000000000089e+00,1.110000000000000098e+00,1.030599999999999924e-05,4.999999999999999774e-07
1.110000000000000098e+00,1.110000000000000098e+00,1.027100000000000043e-05,4.999999999999999774e-07
1.120000000000000107e+00,1.110000000000000098e+00,1.029200000000000073e-05,4.999999999999999774e-07
1.129999999999999893e+00,1.110000000000000098e+00,1.030500000000000044e-05,4.999999999999999774e-07
1.139999999999999902e+00,1.110000000000000098e+00,1.029900000000000084e-05,4.999999999999999774e-07
1.149999999999999911e+00,1.110000000000000098e+00,1.029200000000000073e-05,4.999999999999999774e-07
1.159999999999999920e+00,1.110000000000000098e+00,1.031299999999999935e-05,4.999999999999999774e-07
1.169999999999999929e+00,1.110000000000000098e+00,1.028400000000000013e-05,-1.999999999999999909e-07
1.179999999999999938e+00,1.110000000000000098e+00,1.030500000000000044e-05,4.999999999999999774e-07
1.189999999999999947e+00,1.110000000000000098e+00,1.030599999999999924e-05,4.999999999999999774e-07
1.199999999999999956e+00,1.110000000000000098e+00,1.029800000000000034e-05,4.999999999999999774e-07
1.209999999999999964e+00,1.110000000000000098e+00,1.031299999999999935e-05,4.999999999999999774e-07
1.219999999999999973e+00,1.110000000000000098e+00,1.031999999999999945e-05,4.999999999999999774e-07
1.229999999999999982e+00,1.110000000000000098e+00,1.031299999999999935e-05,4.999999999999999774e-07
1.239999999999999991e+00,1.110000000000000098e+00,1.031299999999999935e-05,4.999999999999999774e-07
1.250000000000000000e+00,1.110000000000000098e+00,1.030599999999999924e-05,4.999999999999999774e-07
1.260000000000000009e+00,1.110000000000000098e+00,1.032699999999999955e-05,4.999999999999999774e-07
1.270000000000000018e+00,1.110000000000000098e+00,1.031299999999999935e-05,4.999999999999999774e-07
1.280000000000000027e+00,1.110000000000000098e+00,1.032699999999999955e-05,4.999999999999999774e-07
1.290000000000000036e+00,1.110000000000000098e+00,1.030599999999999924e-05,4.999999999999999774e-07
