Vd_src, Vg_src, Id, Ig
-1.000000000000000021e-02,0.000000000000000000e+00,-1.000000000000000036e-10,-1.999999999999999909e-07
-1.000000000000000021e-02,-1.000000000000000021e-02,-1.000000000000000036e-10,4.999999999999999774e-07
-1.000000000000000021e-02,-2.000000000000000042e-02,-1.000000000000000036e-10,4.999999999999999774e-07
-1.000000000000000021e-02,-2.999999999999999889e-02,5.999999999999999960e-10,4.999999999999999774e-07
-1.000000000000000021e-02,-4.000000000000000083e-02,-1.000000000000000036e-10,4.999999999999999774e-07
-1.000000000000000021e-02,-5.000000000000000278e-02,5.999999999999999960e-10,-1.999999999999999909e-07
-1.000000000000000021e-02,-5.999999999999999778e-02,5.999999999999999960e-10,4.999999999999999774e-07
-1.000000000000000021e-02,-7.000000000000000666e-02,5.999999999999999960e-10,-1.999999999999999909e-07
-1.000000000000000021e-02,-8.000000000000000167e-02,5.999999999999999960e-10,4.999999999999999774e-07
-1.000000000000000021e-02,-8.999999999999999667e-02,-1.000000000000000036e-10,4.999999999999999774e-07
-1.000000000000000021e-02,-1.000000000000000056e-01,5.999999999999999960e-10,-1.999999999999999909e-07
-1.000000000000000021e-02,-1.100000000000000006e-01,-1.000000000000000036e-10,4.999999999999999774e-07
-1.000000000000000021e-02,-1.199999999999999956e-01,-1.000000000000000036e-10,4.999999999999999774e-07
-1.000000000000000021e-02,-1.300000000000000044e-01,5.999999999999999960e-10,4.999999999999999774e-07
-1.000000000000000021e-02,-1.400000000000000133e-01,5.999999999999999960e-10,4.999999999999999774e-07
-1.000000000000000021e-02,-1.499999999999999944e-01,5.999999999999999960e-10,-1.999999999999999909e-07
-1.000000000000000021e-02,-1.600000000000000033e-01,5.999999999999999960e-10,4.999999999999999774e-07
-1.000000000000000021e-02,-1.700000000000000122e-01,-1.000000000000000036e-10,-1.999999999999999909e-07
-1.000000000000000021e-02,-1.799999999999999933e-01,-1.000000000000000036e-10,4.999999999999999774e-07
-1.000000000000000021e-02,-1.900000000000000022e-01,-1.000000000000000036e-10,4.999999999999999774e-07
-1.000000000000000021e-02,-2.000000000000000111e-01,-1.000000000000000036e-10,-1.999999999999999909e-07
-1.000000000000000021e-02,-2.099999999999999922e-01,-1.000000000000000036e-10,-1.999999999999999909e-07
-1.000000000000000021e-02,-2.200000000000000011e-01,-6.999999999999999609e-10,-1.999999999999999909e-07
-1.000000000000000021e-02,-2.300000000000000100e-01,-1.000000000000000036e-10,4.999999999999999774e-07
-1.000000000000000021e-02,-2.399999999999999911e-01,-1.000000000000000036e-10,4.999999999999999774e-07
-1.000000000000000021e-02,-2.500000000000000000e-01,-1.000000000000000036e-10,4.999999999999999774e-07
-1.000000000000000021e-02,-2.600000000000000089e-01,-1.000000000000000036e-10,4.999999999999999774e-07
-1.000000000000000021e-02,-2.700000000000000178e-01,-1.000000000000000036e-10,4.999999999999999774e-07
-1.000000000000000021e-02,-2.800000000000000266e-01,-6.999999999999999609e-10,-1.999999999999999909e-07
-1.000000000000000021e-02,-2.899999999999999800e-01,-6.999999999999999609e-10,-1.999999999999999909e-07
-1.000000000000000021e-02,-2.999999999999999889e-01,-6.999999999999999609e-10,4.999999999999999774e-07
-1.000000000000000021e-02,-3.099999999999999978e-01,-1.300000000000000060e-09,-1.999999999999999909e-07
-1.000000000000000021e-02,-3.200000000000000067e-01,-1.300000000000000060e-09,4.999999999999999774e-07
-1.000000000000000021e-02,-3.300000000000000155e-01,-1.300000000000000060e-09,-1.999999999999999909e-07
-1.000000000000000021e-02,-3.400000000000000244e-01,-1.300000000000000060e-09,4.999999999999999774e-07
-1.000000000000000021e-02,-3.499999999999999778e-01,-2.600000000000000121e-09,-1.999999999999999909e-07
-1.000000000000000021e-02,-3.599999999999999867e-01,-2.600000000000000121e-09,-1.999999999999999909e-07
-1.000000000000000021e-02,-3.699999999999999956e-01,-3.300000000000000185e-09,4.999999999999999774e-07
-1.000000000000000021e-02,-3.800000000000000044e-01,-5.200000000000000241e-09,-1.999999999999999909e-07
-1.000000000000000021e-02,-3.900000000000000133e-01,-3.900000000000000181e-09,4.999999999999999774e-07
-1.000000000000000021e-02,-4.000000000000000222e-01,-7.099999999999999884e-09,4.999999999999999774e-07
-1.000000000000000021e-02,-4.099999999999999756e-01,-3.900000000000000181e-09,-1.999999999999999909e-07
-1.000000000000000021e-02,-4.199999999999999845e-01,-7.099999999999999884e-09,-1.999999999999999909e-07
-1.000000000000000021e-02,-4.299999999999999933e-01,-1.029999999999999959e-08,4.999999999999999774e-07
-1.000000000000000021e-02,-4.400000000000000022e-01,-8.999999999999999527e-09,4.999999999999999774e-07
-1.000000000000000021e-02,-4.500000000000000111e-01,-1.029999999999999959e-08,4.999999999999999774e-07
-1.000000000000000021e-02,-4.600000000000000200e-01,-1.289999999999999971e-08,4.999999999999999774e-07
-1.000000000000000021e-02,-4.699999999999999734e-01,-1.539999999999999893e-08,-1.999999999999999909e-07
-1.000000000000000021e-02,-4.799999999999999822e-01,-1.860000000000000112e-08,-1.999999999999999909e-07
-1.000000000000000021e-02,-4.899999999999999911e-01,-1.289999999999999971e-08,4.999999999999999774e-07
-1.000000000000000021e-02,-5.000000000000000000e-01,-3.210000000000000289e-08,4.999999999999999774e-07
-1.000000000000000021e-02,-5.100000000000000089e-01,-2.309999999999999840e-08,-1.999999999999999909e-07
-1.000000000000000021e-02,-5.200000000000000178e-01,-2.689999999999999934e-08,4.999999999999999774e-07
-1.000000000000000021e-02,-5.300000000000000266e-01,-2.569999999999999852e-08,-1.999999999999999909e-07
-1.000000000000000021e-02,-5.400000000000000355e-01,-2.759999999999999899e-08,4.999999999999999774e-07
-1.000000000000000021e-02,-5.500000000000000444e-01,-3.079999999999999787e-08,4.999999999999999774e-07
-1.000000000000000021e-02,-5.600000000000000533e-01,-4.419999999999999874e-08,-7.999999999999999638e-07
-1.000000000000000021e-02,-5.699999999999999512e-01,-4.100000000000000317e-08,4.999999999999999774e-07
-1.000000000000000021e-02,-5.799999999999999600e-01,-4.300000000000000123e-08,4.999999999999999774e-07
-1.000000000000000021e-02,-5.899999999999999689e-01,-5.060000000000000311e-08,4.999999999999999774e-07
-1.000000000000000021e-02,-5.999999999999999778e-01,-5.640000000000000211e-08,-1.999999999999999909e-07
-1.000000000000000021e-02,-6.099999999999999867e-01,-5.379999999999999868e-08,4.999999999999999774e-07
-1.000000000000000021e-02,-6.199999999999999956e-01,-4.619999999999999680e-08,4.999999999999999774e-07
-1.000000000000000021e-02,-6.300000000000000044e-01,-7.050000000000000263e-08,-1.999999999999999909e-07
-1.000000000000000021e-02,-6.400000000000000133e-01,-6.019999999999999643e-08,4.999999999999999774e-07
-1.000000000000000021e-02,-6.500000000000000222e-01,-9.349999999999999683e-08,4.999999999999999774e-07
-1.000000000000000021e-02,-6.600000000000000311e-01,-8.070000000000000132e-08,4.999999999999999774e-07
-1.000000000000000021e-02,-6.700000000000000400e-01,-1.024999999999999980e-07,4.999999999999999774e-07
-1.000000000000000021e-02,-6.800000000000000488e-01,-9.800000000000000404e-08,4.999999999999999774e-07
-1.000000000000000021e-02,-6.899999999999999467e-01,-9.859999999999999617e-08,4.999999999999999774e-07
-1.000000000000000021e-02,-6.999999999999999556e-01,-9.800000000000000404e-08,4.999999999999999774e-07
-1.000000000000000021e-02,-7.099999999999999645e-01,-1.312999999999999912e-07,4.999999999999999774e-07
-1.000000000000000021e-02,-7.199999999999999734e-01,-1.179000000000000036e-07,4.999999999999999774e-07
-1.000000000000000021e-02,-7.299999999999999822e-01,-1.542999999999999986e-07,4.999999999999999774e-07
-1.000000000000000021e-02,-7.399999999999999911e-01,-1.562999999999999901e-07,4.999999999999999774e-07
-1.000000000000000021e-02,-7.500000000000000000e-01,-1.339000000000000012e-07,4.999999999999999774e-07
-1.000000000000000021e-02,-7.600000000000000089e-01,-1.651999999999999970e-07,4.999999999999999774e-07
-1.000000000000000021e-02,-7.700000000000000178e-01,-1.499000000000000122e-07,4.999999999999999774e-07
-1.000000000000000021e-02,-7.800000000000000266e-01,-1.792999999999999975e-07,4.999999999999999774e-07
-1.000000000000000021e-02,-7.900000000000000355e-01,-1.723000000000000010e-07,4.999999999999999774e-07
-1.000000000000000021e-02,-8.000000000000000444e-01,-2.285999999999999956e-07,4.999999999999999774e-07
-1.000000000000000021e-02,-8.100000000000000533e-01,-2.446000000000000065e-07,4.999999999999999774e-07
-1.000000000000000021e-02,-8.199999999999999512e-01,-1.960000000000000081e-07,4.999999999999999774e-07
-1.000000000000000021e-02,-8.299999999999999600e-01,-2.196000000000000076e-07,4.999999999999999774e-07
-1.000000000000000021e-02,-8.399999999999999689e-01,-2.561000000000000235e-07,4.999999999999999774e-07
-1.000000000000000021e-02,-8.499999999999999778e-01,-2.843000000000000245e-07,4.999999999999999774e-07
-1.000000000000000021e-02,-8.599999999999999867e-01,-2.400999999999999861e-07,-1.999999999999999909e-07
-1.000000000000000021e-02,-8.699999999999999956e-01,-2.880999999999999924e-07,4.999999999999999774e-07
-1.000000000000000021e-02,-8.800000000000000044e-01,-3.336000000000000226e-07,4.999999999999999774e-07
