Vd_src, Vg_src, Id, Ig
0.000000000000000000e+00,-1.850000000000000089e+00,1.399999999999999963e-08,0.000000000000000000e+00
-1.000000000000000021e-02,-1.850000000000000089e+00,-4.000000000000000249e-09,0.000000000000000000e+00
-2.000000000000000042e-02,-1.850000000000000089e+00,-2.300000000000000081e-08,0.000000000000000000e+00
-2.999999999999999889e-02,-1.850000000000000089e+00,-4.399999999999999695e-08,0.000000000000000000e+00
-4.000000000000000083e-02,-1.850000000000000089e+00,-6.299999999999999503e-08,0.000000000000000000e+00
-5.000000000000000278e-02,-1.850000000000000089e+00,-8.200000000000000635e-08,0.000000000000000000e+00
-5.999999999999999778e-02,-1.850000000000000089e+00,-1.020000000000000001e-07,0.000000000000000000e+00
-7.000000000000000666e-02,-1.850000000000000089e+00,-1.199999999999999893e-07,0.000000000000000000e+00
-8.000000000000000167e-02,-1.850000000000000089e+00,-1.400000000000000095e-07,0.000000000000000000e+00
-8.999999999999999667e-02,-1.850000000000000089e+00,-1.580000000000000119e-07,0.000000000000000000e+00
-1.000000000000000056e-01,-1.850000000000000089e+00,-1.759999999999999878e-07,0.000000000000000000e+00
-1.100000000000000006e-01,-1.850000000000000089e+00,-1.939999999999999902e-07,0.000000000000000000e+00
-1.199999999999999956e-01,-1.850000000000000089e+00,-2.129999999999999882e-07,0.000000000000000000e+00
-1.300000000000000044e-01,-1.850000000000000089e+00,-2.309999999999999906e-07,0.000000000000000000e+00
-1.400000000000000133e-01,-1.850000000000000089e+00,-2.490000000000000194e-07,0.000000000000000000e+00
-1.499999999999999944e-01,-1.850000000000000089e+00,-2.660000000000000261e-07,0.000000000000000000e+00
-1.600000000000000033e-01,-1.850000000000000089e+00,-2.840000000000000020e-07,0.000000000000000000e+00
-1.700000000000000122e-01,-1.850000000000000089e+00,-2.999999999999999864e-07,0.000000000000000000e+00
-1.799999999999999933e-01,-1.850000000000000089e+00,-3.180000000000000153e-07,0.000000000000000000e+00
-1.900000000000000022e-01,-1.850000000000000089e+00,-3.350000000000000219e-07,0.000000000000000000e+00
-2.000000000000000111e-01,-1.850000000000000089e+00,-3.510000000000000064e-07,0.000000000000000000e+00
-2.099999999999999922e-01,-1.850000000000000089e+00,-3.680000000000000130e-07,0.000000000000000000e+00
-2.200000000000000011e-01,-1.850000000000000089e+00,-3.850000000000000196e-07,0.000000000000000000e+00
-2.300000000000000100e-01,-1.850000000000000089e+00,-4.010000000000000041e-07,0.000000000000000000e+00
-2.399999999999999911e-01,-1.850000000000000089e+00,-4.169999999999999885e-07,0.000000000000000000e+00
-2.500000000000000000e-01,-1.850000000000000089e+00,-4.330000000000000259e-07,0.000000000000000000e+00
-2.600000000000000089e-01,-1.850000000000000089e+00,-4.490000000000000104e-07,0.000000000000000000e+00
-2.700000000000000178e-01,-1.850000000000000089e+00,-4.640000000000000256e-07,0.000000000000000000e+00
-2.800000000000000266e-01,-1.850000000000000089e+00,-4.799999999999999571e-07,0.000000000000000000e+00
-2.899999999999999800e-01,-1.850000000000000089e+00,-4.929999999999999809e-07,0.000000000000000000e+00
-2.999999999999999889e-01,-1.850000000000000089e+00,-5.099999999999999875e-07,0.000000000000000000e+00
-3.099999999999999978e-01,-1.850000000000000089e+00,-5.249999999999999498e-07,0.000000000000000000e+00
-3.200000000000000067e-01,-1.850000000000000089e+00,-5.400000000000000179e-07,0.000000000000000000e+00
-3.300000000000000155e-01,-1.850000000000000089e+00,-5.540000000000000109e-07,0.000000000000000000e+00
-3.400000000000000244e-01,-1.850000000000000089e+00,-5.689999999999999732e-07,0.000000000000000000e+00
-3.499999999999999778e-01,-1.850000000000000089e+00,-5.829999999999999662e-07,0.000000000000000000e+00
-3.599999999999999867e-01,-1.850000000000000089e+00,-5.990000000000000036e-07,0.000000000000000000e+00
-3.699999999999999956e-01,-1.850000000000000089e+00,-6.099999999999999830e-07,0.000000000000000000e+00
-3.800000000000000044e-01,-1.850000000000000089e+00,-6.230000000000000067e-07,0.000000000000000000e+00
-3.900000000000000133e-01,-1.850000000000000089e+00,-6.379999999999999690e-07,0.000000000000000000e+00
-4.000000000000000222e-01,-1.850000000000000089e+00,-6.509999999999999928e-07,0.000000000000000000e+00
-4.099999999999999756e-01,-1.850000000000000089e+00,-6.640000000000000165e-07,0.000000000000000000e+00
-4.199999999999999845e-01,-1.850000000000000089e+00,-6.770000000000000403e-07,0.000000000000000000e+00
-4.299999999999999933e-01,-1.850000000000000089e+00,-6.889999999999999889e-07,0.000000000000000000e+00
-4.400000000000000022e-01,-1.850000000000000089e+00,-7.029999999999999820e-07,0.000000000000000000e+00
-4.500000000000000111e-01,-1.850000000000000089e+00,-7.129999999999999921e-07,0.000000000000000000e+00
-4.600000000000000200e-01,-1.850000000000000089e+00,-7.269999999999999851e-07,0.000000000000000000e+00
-4.699999999999999734e-01,-1.850000000000000089e+00,-7.390000000000000396e-07,0.000000000000000000e+00
-4.799999999999999822e-01,-1.850000000000000089e+00,-7.509999999999999883e-07,0.000000000000000000e+00
-4.899999999999999911e-01,-1.850000000000000089e+00,-7.619999999999999676e-07,0.000000000000000000e+00
-5.000000000000000000e-01,-1.850000000000000089e+00,-7.749999999999999914e-07,0.000000000000000000e+00
-5.100000000000000089e-01,-1.850000000000000089e+00,-7.859999999999999708e-07,0.000000000000000000e+00
-5.200000000000000178e-01,-1.850000000000000089e+00,-7.969999999999999502e-07,0.000000000000000000e+00
-5.300000000000000266e-01,-1.850000000000000089e+00,-8.080000000000000354e-07,0.000000000000000000e+00
-5.400000000000000355e-01,-1.850000000000000089e+00,-8.209999999999999533e-07,0.000000000000000000e+00
-5.500000000000000444e-01,-1.850000000000000089e+00,-8.309999999999999635e-07,0.000000000000000000e+00
-5.600000000000000533e-01,-1.850000000000000089e+00,-8.420000000000000487e-07,0.000000000000000000e+00
-5.699999999999999512e-01,-1.850000000000000089e+00,-8.509999999999999837e-07,0.000000000000000000e+00
-5.799999999999999600e-01,-1.850000000000000089e+00,-8.630000000000000382e-07,0.000000000000000000e+00
-5.899999999999999689e-01,-1.850000000000000089e+00,-8.730000000000000484e-07,0.000000000000000000e+00
